category,subcategory,name,current_price,raw_price,currency,discount,likes_count,is_new,brand,codCountry,variation_0_color,variation_1_color,id,model,total_prices
kids,Sandals,Sandales d'eau à bout fermé à séchage rapide pour enfants unisexe,16.2,32.4,USD,50,45,False,,"ID,MY,PH,SG,TH,VN",Dark Blue,Green,1696009,SKUF46386,729.0
kids,Culottes de grossesse,Lot de 3 Culottes en Coton Pure Elastique Convenable pour Maternité,23.06,58.1,USD,60,202,False,,"ID,MY,PH,SG,TH,VN",# 01,# 02,1199879,SKU763599,4658.12
kids,Culottes de grossesse,Sous-vêtements de maternité confortables taille haute,14.03,35.35,USD,60,153,False,,"ID,MY,PH,SG,TH,VN",Beige,Bleu,1320317,SKU983263,2146.5899999999997
kids,Sandals,Unisexe Kids Comfy antidérapant jardin chaussures de sabot d'eau de jardin,6.99,13.0,USD,46,60,False,,"ID,MY,PH,SG,TH,VN",Yellow,Green,1693907,SKUF43614,419.40000000000003
kids,Chaussures pour garçon,Sandales de plage légères pour garçon,12.45,22.0,USD,43,158,False,,"ID,MY,PH,SG,TH,VN",vert,Bleu,1449419,SKUB67845,1967.1
kids,Robes,Robe fille licorne papillon pour 4-13 ans,9.99,26.99,USD,63,914,False,,"ID,MY,PH,SG,TH,VN",Rose,,1441888,SKUB61343,9130.86
kids,Robes,Girls Unicorn Rainbow Stripe Print Short-sleeved Casual Dress For 3-8Y,19.99,39.98,USD,50,42,False,,"ID,MY,PH,SG,TH,VN",Pink,Gray,1678233,SKUF15571,839.5799999999999
kids,Brassières de grossesse,Soutien-gorge d'allaitement sans fil anti-affaissement en dentelle,10.02,25.25,USD,60,1220,False,,"ID,MY,PH,SG,TH,VN",Noir,Rose,1474362,SKUB95625,12224.4
kids,Pantalons & Jupes,Jeans brodé chat fille pour 3-15 ans,18.04,45.46,USD,60,670,False,,"ID,MY,PH,SG,TH,VN",1,2,1499924,SKUC20097,12086.8
kids,Costumes pour bébé,18pcs nouveau-né baby shower coffret pour 0-6m,45.12,113.7,USD,60,350,False,,"ID,MY,PH,SG,TH,VN",Jaune,Rose,1339676,SKUA11498,15792.0
kids,Pantalons & Jupes,Combinaison dos nu fille pour 3Y-11Y,20.05,50.52,USD,60,686,False,,"ID,MY,PH,SG,TH,VN",Gris foncé,,1277757,SKU908275,13754.300000000001
kids,Brassières de grossesse,Brassière de grossesse en couleur pure,15.03,37.88,USD,60,318,False,,"ID,MY,PH,SG,TH,VN",Rose,Beige,1315172,SKU979783,4779.54
kids,Pantalons & Jupes,Combinaison à fleurs Bohème pour filles,24.06,60.63,USD,60,667,False,,"ID,MY,PH,SG,TH,VN",Orange,,1300717,SKU932518,16048.019999999999
kids,Robes,Robe de fleur de princesse fille 2PCs pour 1-7Y,32.09,80.84,USD,60,171,False,,"ID,MY,PH,SG,TH,VN",Blue,Wine Red,1624942,SKUE26603,5487.39
kids,Robes,Filles Robe Grise Plissée Pour 4Y-15Y,49.14,123.8,USD,60,752,False,,"ID,MY,PH,SG,TH,VN",Rose,,1347579,SKUA25498,36953.28
kids,Robes,Filles Sling Sun Print Dress mignon pour 2-9Y,15.03,37.88,USD,60,263,False,,"ID,MY,PH,SG,TH,VN",Yellow,,1525806,SKUC77175,3952.89
kids,Robes,Robe mère-fille fleurie assortie,23.99,39.99,USD,40,104,False,,"ID,MY,PH,SG,TH,VN",,,1365953,SKUA43605,2494.96
kids,Salopettes & Combinaisons,Barboteuses d'impression de bande dessinée de bébé pour 0-18M,18.04,45.46,USD,60,89,False,,"ID,MY,PH,SG,TH,VN",#01,#02,1604676,SKUE11599,1605.56
kids,Pantalons & Jupes,Combinaisons Dot Design Girls pour 2Y-11Y,26.07,65.68,USD,60,1045,False,,"ID,MY,PH,SG,TH,VN",Noir,,1281655,SKU904030,27243.15
kids,Maillots de bain,Ensemble de maillots de bain 3 pièces pour fille de 4ans - 13ans,24.06,60.63,USD,60,429,False,,"ID,MY,PH,SG,TH,VN",Bleu ciel,vert,1333626,SKUA09758,10321.74
kids,Coutumes & Co-ords,Ensembles de vêtements pour tout-petits garçons pour 3-11 ans,23.06,58.1,USD,60,531,False,,"ID,MY,PH,SG,TH,VN",Noir,,1279496,SKU847229,12244.859999999999
kids,Tops & T-shirt,T-shirt garçon imprimé crocodile pour 2-8 ans,9.49,18.98,USD,50,30,False,,"ID,MY,PH,SG,TH,VN",Dark Blue,,1664939,SKUE90466,284.7
kids,Brassières de grossesse,Brassière de grossesse en coton souple respirante,14.03,35.35,USD,60,1161,False,,"ID,MY,PH,SG,TH,VN",Grey1,Coffee,1358567,SKUA40764,16288.83
kids,Robes,Robe de princesse fille licorne pour 3-13 ans,29.08,73.26,USD,60,977,False,,"ID,MY,PH,SG,TH,VN",Jaune,Violet,1448500,SKUB66991,28411.16
kids,Tops & T-shirt,T-shirt d'été pour garçon dinosaure pour 2-10 ans,11.52,29.04,USD,60,44,False,,"ID,MY,PH,SG,TH,VN",Green,Blue,1664940,SKUE90499,506.88
kids,Costume & Jupe-culotte,Ensemble d'impression de tournesol pour fille pour 1-7 ans,18.49,36.98,USD,50,73,False,,"ID,MY,PH,SG,TH,VN",Yellow,,1674344,SKUF10459,1349.77
kids,Pyjamas,Pyjama rayé dinosaure garçon pour 1 à 7 ans,17.49,34.98,USD,50,29,False,,"ID,MY,PH,SG,TH,VN",Gray,,1662735,SKUE94071,507.21
kids,Robes,Robe pour fille de 2-8 ans,28.07,70.73,USD,60,602,False,,"ID,MY,PH,SG,TH,VN",blanc,,1268210,SKU890651,16898.14
kids,Flats & Loafers,Unisexe Enfants Comfy Respirant Soft Semelle Décontractée Slip On Chaussures Plates,18.0,40.99,USD,56,20,False,,"ID,MY,PH,SG,TH,VN",White,Red,1694703,SKUF43907,360.0
kids,Robes,Robe à bretelles Flower Girl pour 1 à 7 ans,20.05,50.52,USD,60,327,False,,"ID,MY,PH,SG,TH,VN",rouge,,1447479,SKUB67023,6556.35
kids,Sandals,Unisexe Kids Classic Tie-Dye Hole Garden Water Clog Shoes,12.42,23.84,USD,48,9,False,,"ID,MY,PH,SG,TH,VN",Pink,White,1704681,SKUF59760,111.78
kids,Brassières de grossesse,Soutien-gorge d'allaitement maternité boutonné devant,19.05,47.99,USD,60,333,False,,"ID,MY,PH,SG,TH,VN",Pink,Black,1573105,SKUD61239,6343.650000000001
kids,Costume & Jupe-culotte,Ensemble gilet et pantalon à volants pour fille pour 1-7 ans,18.55,36.98,USD,50,91,False,,"ID,MY,PH,SG,TH,VN",Blue,,1663289,SKUE96976,1688.05
kids,Brassières de grossesse,Soutien-gorge d'allaitement maternité confortable,14.03,35.35,USD,60,325,False,,"ID,MY,PH,SG,TH,VN",Rose,Nu,1443170,SKUB31232,4559.75
kids,Salopettes & Combinaisons,Gigoteuse chaude et velours pour 0-24M,21.05,53.04,USD,60,318,False,,"ID,MY,PH,SG,TH,VN",White,,1527773,SKUC77151,6693.900000000001
kids,Robes,Soft Robe de fillette en coton 2Y-11Y,27.07,68.21,USD,60,416,False,,"ID,MY,PH,SG,TH,VN",gris,Marine,1308299,SKU963384,11261.12
kids,Chaussures pour garçon,Chaussures causales à boucles à crochets respirantes unisexe,30.49,51.12,USD,40,442,False,,"ID,MY,PH,SG,TH,VN",Bleu foncé,rouge,1364081,SKUA52294,13476.58
kids,Blousons & Vestes,Veste de forage imprimée en denim pour fille de 1 à 15 ans,30.08,75.79,USD,60,232,False,,"ID,MY,PH,SG,TH,VN",Dark Blue,,1540202,SKUD06395,6978.5599999999995
kids,Tops,T-shirt à 3D imprimé pour enfant de 1-9 ans,17.04,42.94,USD,60,423,False,,"ID,MY,PH,SG,TH,VN",1,2,1284915,SKU926980,7207.92
kids,Costume & Jupe-culotte,Ensembles de vêtements floraux pour 2-9 ans,22.06,55.57,USD,60,644,False,,"ID,MY,PH,SG,TH,VN",Rose,Bleu,1430893,SKUB34305,14206.64
kids,Brassières de grossesse,Brassière de grossesse,10.02,25.25,USD,60,2148,False,,,blanc,Rose,1348110,SKUA05536,21522.96
kids,Robes,Flower Girls Casual Dress Pour 2-11Y         ,22.06,55.57,USD,60,233,False,,"ID,MY,PH,SG,TH,VN",blanc,Bleu marin,1437371,SKUB51799,5139.98
kids,Pantalons,Short de sport pour garçon animalier pour 2Y-11Y,25.06,63.15,USD,60,188,False,,"ID,MY,PH,SG,TH,VN",blanc,Jaune,1302215,SKU954886,4711.28
kids,Robes,Robe de dessin animé pour fille de 2-9 ans,19.05,47.99,USD,60,618,False,,"ID,MY,PH,SG,TH,VN",Long Sleeve,Short Sleeve,1259163,SKU880359,11772.9
kids,Robes,Robe à volants à fleurs bleues pour fille 3-10 ans,17.99,35.98,USD,50,30,False,,"ID,MY,PH,SG,TH,VN",As Picture,,1674615,SKUF11883,539.6999999999999
kids,Robes,Princesse Layered Girls Dress Pour 3Y-11Y,33.38,84.1,USD,60,383,False,,"ID,MY,PH,SG,TH,VN",Violet,Rose,1366043,SKUA55016,12784.54
kids,Blousons & Vestes,Manteau Trench Imperméable pour Enfant Garçon Fille,29.08,73.26,USD,60,941,False,,"ID,MY,PH,SG,TH,VN",Noir,Bleu foncé,1243740,SKU847501,27364.28
kids,Robes,Casual Robe imprimée à col en V pour 4-15Y,21.05,53.04,USD,60,243,False,,"ID,MY,PH,SG,TH,VN",Jaune,Noir,1401988,SKUA92995,5115.150000000001
kids,Robes,Fleur filles robe en mousseline de soie pour 4Y-15Y,23.06,58.1,USD,60,956,False,,,blanc,Jaune,1400493,SKUA99383,22045.36
kids,Robes,Vintage filles lâche robe pour 4-15 ans,25.06,63.15,USD,60,283,False,,"ID,MY,PH,SG,TH,VN",Comme image,,1425816,SKUB32677,7091.98
kids,Chaussures pour fille,Filles toile dessin animé belles chaussures de sport,24.49,44.41,USD,45,307,False,,"ID,MY,PH,SG,TH,VN",blanc,Bleu foncé,1419877,SKUB30247,7518.429999999999
kids,Costume & Jupe-culotte,Panda Pattern Girls Ensembles décontractés pour 3-11Y,24.53,61.81,USD,60,430,False,,"ID,MY,PH,SG,TH,VN",blanc,,1406934,SKUB06895,10547.9
kids,Coutumes & Co-ords,Ensembles de shorts en lin et coton pour garçons 2-7 ans,22.06,55.57,USD,60,442,False,,,Gris,Jaune,1323056,SKU991269,9750.519999999999
kids,Costume & Jupe-culotte,Ensemble à carreaux à volants pour fille pour 1-7 ans,16.54,41.67,USD,60,41,False,,"ID,MY,PH,SG,TH,VN",White,,1664123,SKUE89379,678.14
kids,Salopettes & Combinaisons,Barboteuse en denim de dessin animé pour 0-24 mois,27.07,68.21,USD,60,417,False,,"ID,MY,PH,SG,TH,VN",Bleu,Bleu foncé,1496116,SKUC20016,11288.19
